feature,importance
ackdat,0.11948136097442674
tcprtt,0.10623382307846416
dload,0.10167842818025602
synack,0.08935337388484178
dmean,0.07561723140741766
dinpkt,0.07287218301705221
rate,0.06389876252536167
dbytes,0.057851542041870124
dpkts,0.0411048818869394
dur,0.03796073900133015
sinpkt,0.032647008949257095
sload,0.03224465781252953
sjit,0.03132559305279489
spkts,0.02289769729036083
djit,0.02266299021833507
sbytes,0.020232074551910305
smean,0.01599908661216388
dloss,0.01443752122803855
sloss,0.009553197743983466
ct_src_dport_ltm,0.006320054168586844
ct_flw_http_mthd,0.005826807361631824
response_body_len,0.004683476320303501
trans_depth,0.004161147641865697
is_sm_ips_ports,0.0034125714007081603
swin,0.002302928059126059
ct_dst_sport_ltm,0.0017537715083648531
stcpb,0.0012729665550959776
dtcpb,0.0012565467762511867
dwin,0.0009120362016990795
ct_ftp_cmd,3.226703870549057e-05
is_ftp_login,1.327351032783968e-05
