feature,importance
dload,0.07797105443564076
ackdat,0.06328596892462313
rate,0.05713606039898185
synack,0.05154932478432687
tcprtt,0.05152413029576188
dinpkt,0.04835483673036183
sinpkt,0.04624666689785017
sload,0.044448889364008155
state_CON,0.044114090716937976
dbytes,0.03849757045121345
sjit,0.03465104867577637
dpkts,0.03331865375437078
state_INT,0.032990898468824324
dloss,0.027341000141834163
spkts,0.026941921434977013
dur,0.024339943402961178
sbytes,0.02429545605983026
smean,0.02350649955199194
dmean,0.022682379259745124
djit,0.022064968823319306
service_http,0.02073597980072858
service_Unknown,0.016441428647907257
ct_src_dport_ltm,0.015574597105593977
sloss,0.013893810856947351
swin,0.012966501669742315
service_ftp-data,0.01162860741437596
state_FIN,0.011593410023608286
proto_Other,0.009976237306117311
proto_tcp,0.009975194595419186
response_body_len,0.009128311232046531
proto_udp,0.008559724739479874
service_dns,0.006604213492555898
dwin,0.005986377783070266
service_smtp,0.005624591901210273
ct_flw_http_mthd,0.004986912916780023
stcpb,0.004809844770076553
proto_arp,0.004796109017683789
is_sm_ips_ports,0.004659348101358168
ct_dst_sport_ltm,0.004584361676030238
dtcpb,0.004441171770125951
service_ssh,0.004300394182615645
service_pop3,0.0042926000802357015
proto_ospf,0.002032416811803221
proto_sctp,0.001854866537956096
service_ftp,0.0018445865164703104
ct_ftp_cmd,0.0015676858572517616
state_REQ,0.0009896959410195035
proto_unas,0.00038796848154742843
state_RST,0.0001619118339344305
state_ECO,0.00011041000130321603
service_dhcp,8.652296019883666e-05
service_ssl,7.790523081869454e-05
service_radius,2.924237769048457e-05
service_snmp,1.822951846729864e-05
service_irc,1.7466274493015992e-05
state_PAR,0.0
state_URN,0.0
state_no,0.0
