feature,importance
tcprtt,24.309365894334135
synack,12.236171391343326
ackdat,10.62831279120251
proto_arp,2.5854616064175464
proto_sctp,2.0923808128507995
proto_tcp,1.6976664386515394
state_REQ,1.3484921609140685
state_INT,1.2374366649658566
state_PAR,1.148044771702476
state_no,1.0995223925723911
service_dhcp,1.0882763685564245
state_FIN,0.9175396529033905
state_ECO,0.8999285268011494
service_ssh,0.7966811275711089
service_pop3,0.7777154447750629
dload,0.7579503440271177
proto_ospf,0.6930592926661581
sinpkt,0.6886040808513945
service_ftp-data,0.6881968499035752
dinpkt,0.671425086557656
proto_unas,0.604498417230939
service_ssl,0.6039899045265235
ct_ftp_cmd,0.6008024173101877
proto_Other,0.5791517522611249
state_URN,0.5302925029351142
is_sm_ips_ports,0.515946564594451
service_ftp,0.5081716122854447
service_Unknown,0.49965132265844886
sload,0.49691480033373725
dbytes,0.47647132907630685
state_RST,0.40597381263918875
ct_dst_sport_ltm,0.4011171605037798
djit,0.39248068236261446
ct_src_dport_ltm,0.38410728157651225
service_irc,0.33944457080174767
service_snmp,0.333468205639108
proto_udp,0.31403777005637146
ct_flw_http_mthd,0.24109952768553403
state_CON,0.2316540974118436
service_dns,0.2205798791496025
dloss,0.217197599186681
service_radius,0.20447790926339535
service_smtp,0.2040693748786622
rate,0.19975729004084794
service_http,0.17122457559168622
dmean,0.1320894731825363
dpkts,0.12181770009770199
sjit,0.10453086800877051
spkts,0.10298557683235512
response_body_len,0.0602838432702325
smean,0.018494722335721178
sloss,0.017012970657423875
dur,0.007611211874435348
dwin,0.0074417828974205945
dtcpb,0.005458308643738592
stcpb,0.005415744376496764
swin,0.00314973243175446
sbytes,0.0004673228103470436
