feature,importance
dload,0.11048040489494097
tcprtt,0.09217773583747235
ackdat,0.09021216825964264
synack,0.08393685049822379
dinpkt,0.05772109010978874
dmean,0.05431223402229044
rate,0.05341097293397819
dbytes,0.0451702763608575
dur,0.041218615482934054
sbytes,0.03748876558068147
sinpkt,0.03520255489114861
dpkts,0.0317863327112268
sload,0.031030794006608624
smean,0.02997640607831411
sjit,0.026291115655849084
djit,0.024474310235819557
dloss,0.018351437033010464
spkts,0.017525287817324597
state_CON,0.015381996657066839
state_INT,0.014059961990928516
sloss,0.011523672961189037
ct_src_dport_ltm,0.010619075423569378
dtcpb,0.008029099619065415
service_Unknown,0.007801506007446988
stcpb,0.006316545599022988
service_http,0.005803607717661949
response_body_len,0.0055293678658694155
ct_flw_http_mthd,0.0036858579560429677
proto_Other,0.003527619155123798
ct_dst_sport_ltm,0.0029547931985733846
swin,0.002954764757737579
proto_tcp,0.002772036782449152
proto_arp,0.002720289095348211
service_ftp-data,0.0025560281471035022
state_FIN,0.0025097391006415727
proto_udp,0.0018474449992022907
is_sm_ips_ports,0.0017353993069163904
service_smtp,0.0011061388207134484
service_dns,0.001048513537420664
dwin,0.0009908729710134659
proto_sctp,0.000899681360989106
proto_ospf,0.000734305454621054
service_pop3,0.0005942438935077749
state_REQ,0.0004965700725880743
service_ftp,0.0004726434851503101
state_ECO,0.00011433811550559551
ct_ftp_cmd,0.00010887801805637363
service_dhcp,9.573169390023841e-05
proto_unas,9.514215239501637e-05
state_RST,7.415070367429063e-05
service_ssh,3.20570074683879e-05
service_radius,2.6311893362545784e-05
service_snmp,8.259374754737311e-06
service_irc,3.457670830170879e-06
service_ssl,2.545022977470343e-06
state_PAR,0.0
state_URN,0.0
state_no,0.0
