feature,importance
dload,0.16697557
state_CON,0.110533774
swin,0.10493274
ackdat,0.08429539
proto_Other,0.06960338
dbytes,0.05480705
service_ftp-data,0.0508303
service_Unknown,0.039406214
dloss,0.03874693
is_sm_ips_ports,0.03421592
dpkts,0.01864798
sloss,0.01762104
tcprtt,0.014709454
dmean,0.01352981
service_smtp,0.013295524
proto_udp,0.009680579
service_http,0.0096758
proto_ospf,0.008435782
proto_arp,0.0084237605
synack,0.008389087
sbytes,0.0081266565
proto_unas,0.008102322
proto_sctp,0.0076232967
smean,0.0070501873
service_ftp,0.0069157956
response_body_len,0.0068455916
ct_src_dport_ltm,0.006620397
state_INT,0.006422989
sload,0.0061656274
state_REQ,0.006013652
sinpkt,0.005266674
ct_flw_http_mthd,0.005110559
spkts,0.0049462817
rate,0.0047310446
ct_dst_sport_ltm,0.0046350905
service_dhcp,0.0043796184
sjit,0.0043316716
state_RST,0.0036074952
ct_ftp_cmd,0.0036047075
dur,0.0027068749
djit,0.0021062489
service_dns,0.0017146479
state_ECO,0.0017114792
dinpkt,0.0016864007
dtcpb,0.0014297225
stcpb,0.0013888838
dwin,0.0
proto_tcp,0.0
service_pop3,0.0
service_irc,0.0
service_ssl,0.0
service_ssh,0.0
service_snmp,0.0
service_radius,0.0
state_PAR,0.0
state_FIN,0.0
state_URN,0.0
state_no,0.0
